size_bytes,size_human,path,id,mimeType
2146057306,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-006.zip,1iMDjSrYb1ww83LE5ukA-QIn8n1LikDfS,application/zip
2146057306,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-006.zip,1eXWdACxD-0aGhofi5orouM3hw1e-x_WK,application/zip
2145914106,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-008.zip,1d1iHOwLPhRE_I6AFmxda_EslahwCCpmZ,application/zip
2145914106,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-008.zip,1BX_O9UTilQ2olGcUzVL5ttRV4j3Zmyjc,application/zip
2145914106,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-008.zip,1U9wsL5D_a4ym2RsQ2hayJeIgIhbOX585,application/zip
2145625447,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-017.zip,1AzI0vYns1BSz0nnsATut4df7SEbsfdA7,application/zip
2145625447,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-017.zip,12RoZb6dwCL8ltaIXJMsw7gFZEwoM1dT8,application/zip
2145625447,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260528T150600Z-3-017.zip,1TtQF-IJOwDDS9TYvoUVyl_JsIjcD-glf,application/zip
2145543674,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-003.zip,1pBEfWFy9BmEXnRyfG-ppSMRZxtSjJUJu,application/zip
2145543674,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-003.zip,1hnf-9PVKXUDb1X_xHop8HZw4gt1AyZaP,application/zip
2145543674,2.0 GB,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-003.zip,1aRvGbaUifaBIkuMHL-xwwWPyCsjTinbA,application/zip
