grupo,nome_normalizado,size,ocorrencias,path,id,mimeType
162,"._13. transformando, traduzindo e modificando.md",4096,2,"CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/05 - [TRILHA] Modelos Alternativos com Hugging Face/06 - Engenharia de Prompts/apostilas_em_markdown/._13. Transformando, traduzindo e modificando.md",156HvOHBvzeO4Rop7f8GYUyOCgT6mb31b,text/markdown
163,._14. criação de chatbots personalizados.md,4096,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/07 - Engenharia de Prompts/apostilas_em_markdown/._14. Criação de Chatbots Personalizados.md,1-PcMVAGCD6V63G8YV7_NnP5orSk0JOv4,text/markdown
163,._14. criação de chatbots personalizados.md,4096,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/05 - [TRILHA] Modelos Alternativos com Hugging Face/06 - Engenharia de Prompts/apostilas_em_markdown/._14. Criação de Chatbots Personalizados.md,1t60hfAGtzi15Qve4-fC8TDVQ862lt1OC,text/markdown
164,._15. recursos adicionais.md,4096,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/07 - Engenharia de Prompts/apostilas_em_markdown/._15. Recursos adicionais.md,1swTPSmk4bq-n5F4d8w1B939iyVcwWqjj,text/markdown
164,._15. recursos adicionais.md,4096,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/05 - [TRILHA] Modelos Alternativos com Hugging Face/06 - Engenharia de Prompts/apostilas_em_markdown/._15. Recursos adicionais.md,16C1hOAlJ0vbYLFQYrcWLSfaSufk1bfmQ,text/markdown
165,._tests,4096,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/08 - Criando Multi Agent Systems com CrewAI/Criando Multi Agent Systems com CrewAI/scripts/04_create_blogpost_w_tools/._tests,1VEEnq_9CSvkxi9vO7_6R_4EoIhB9HZiN,application/octet-stream
165,._tests,4096,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/08 - Criando Multi Agent Systems com CrewAI/Criando Multi Agent Systems com CrewAI/scripts/05_tools_personalizadas/._tests,15-9z9ubnf_FhshX3XT3eepcWvyR_5AoB,application/octet-stream
166,._06 - engenharia de prompts,4096,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/05 - [TRILHA] Modelos Alternativos com Hugging Face/._06 - Engenharia de Prompts,1V5k4cbWW1pB9Apkc57QZtPLZ_fF0Y_DW,application/octet-stream
166,._06 - engenharia de prompts,4096,2,CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/06 - [TRILHA] Aplicações IA - Criação de Agents com LangChain/._06  - Engenharia de Prompts,1hQNuvLRkA04SLKKobkL7drDVJDliuXsT,application/octet-stream
167,"13. transformando, traduzindo e modificando.md",3979,2,"CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/07 - Engenharia de Prompts/apostilas_em_markdown/13. Transformando, traduzindo e modificando.md",1w8nW8skyZoNKlK-cPmvsW_TvwP5EVjF4,text/markdown
167,"13. transformando, traduzindo e modificando.md",3979,2,"CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/05 - [TRILHA] Modelos Alternativos com Hugging Face/06 - Engenharia de Prompts/apostilas_em_markdown/13. Transformando, traduzindo e modificando.md",15lLUUtLecB6U9CRq9l5O1L0rbVwyQ403,text/markdown
168,webpack-9fef09e744d92222.js,3471,2,CURSOS_EBOOKS/A CIÊNCIA E ESTRATÉGIA DE VENDAS/MEU PERFIL DE VENDEDOR_files/webpack-9fef09e744d92222.js,1bfpjpMBhJsAMuBCz0HVxpa6w5jaIxq_E,text/javascript
