path,name,id,mimeType,size,modifiedTime
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-013.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-013.zip,1eUV5zW38CAvYbqJxFC1qJsmoRjYMKD2u,application/zip,2132841523,2026-05-29T05:08:59.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-014.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-014.zip,1uScNLGknZaAoSaw1dMkxsbLldI_SsZ4k,application/zip,2146359623,2026-05-29T05:09:01.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-014.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-014.zip,1-Y4ax00ZSzqAVGKh4J72jYs3LBwVlUNn,application/zip,2146359623,2026-05-29T05:09:01.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-015.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-015.zip,1PRtjZfLTUwVfnPPPdnh86PLAQf9Izy0N,application/zip,2128087517,2026-05-29T05:08:58.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-015.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-015.zip,1h14s5WHU9UfE1iwfHwbJ1xBgIi8Zq972,application/zip,2128087517,2026-05-29T05:08:58.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-016.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-016.zip,1uI0uCCOGygAV9SCfgzyhWZIVP-JxmSt0,application/zip,2131668859,2026-05-29T05:08:58.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-016.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-016.zip,1f2BbpcY-9eonphgDbt-ZaDthz6mjnaYG,application/zip,2131668859,2026-05-29T05:08:58.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-017.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-017.zip,18FSR9ifsbRdLNu1XVacmYt6G4Ywcw5JP,application/zip,2131777817,2026-05-29T05:08:58.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-017.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-017.zip,1Rymfe3VGDRxxjUvZUctY2L82vKMftvCv,application/zip,2131777817,2026-05-29T05:08:58.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-018.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-018.zip,1IrOzYBpVT6pLCxy9O31H8DaKyOmk8S07,application/zip,2128442561,2026-05-29T05:08:58.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-018.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-018.zip,1P-cnRxBEj6lo24QLBqenOsDOYLbaHMdt,application/zip,2128442561,2026-05-29T05:08:58.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-020.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-020.zip,1qih8V83utZsVLA5rp-t5kv4miVvFQDBg,application/zip,2055373197,2026-05-29T05:07:58.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-021.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-021.zip,1v7xPVNHdx5e2ysRKpeexVOCk9oeGDnFe,application/zip,2065572269,2026-05-29T05:08:11.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-021.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-021.zip,1yKAJF84qtiijB16HMKCNJPPL-SieEfIH,application/zip,2065572269,2026-05-29T05:08:11.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-022.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-022.zip,1d81O9sVFWpw2tonsP1ogDLG1vaqG9Mmk,application/zip,2130264860,2026-05-29T05:09:00.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-026.zip,TRILHAS RETIRADAS DA PLATAFORMA-20260529T041136Z-3-026.zip,1WowHIGjEWCKEIq9LyN4YUedllLKFSeU5,application/zip,2113412372,2026-05-29T05:08:51.000Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/._04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI,._04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI,1jnQ8Xu2xE4X_yDA4wVEKlyZ_fKUUJPXR,application/octet-stream,4096,2026-07-06T06:39:49.295Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/._05 - [TRILHA] Modelos Alternativos com Hugging Face,._05 - [TRILHA] Modelos Alternativos com Hugging Face ,1mWt2ZG7h_PZJviQc7f8_q8YLEporxPj4,application/octet-stream,4096,2026-07-06T06:39:49.062Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/._06 - [TRILHA] Aplicações IA - Criação de Agents com LangChain,._06 - [TRILHA] Aplicações IA - Criação de Agents com LangChain,1W2ND1MfhjlPVJwrwwwj2uOmTQyuqjLUM,application/octet-stream,4096,2026-07-06T06:39:49.214Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI,04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI,1UhhxmbgNg_589vmzaStOjn9sXKwtMsmO,application/vnd.google-apps.folder,,2026-07-06T06:39:38.384Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/._00 - Ordem Cursos e Projetos,._00 - Ordem Cursos e Projetos,12NTqwqO7vC4g5ndP0AABLo_17YDWUwdw,application/octet-stream,4096,2026-07-06T06:39:55.891Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/._05 - Aprendendo Python_ Conceitos Básicos,._05 - Aprendendo Python_ Conceitos Básicos,1aePuD0-YL1f-_BYzoxUkfpCwrIhfGIxi,application/octet-stream,4096,2026-07-06T06:39:56.004Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/._07 - Engenharia de Prompts,._07 - Engenharia de Prompts,1krIQ2pWj_92WPGJDZi0IcjqYBdB6fUHi,application/octet-stream,4096,2026-07-06T06:39:55.828Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/._08 - Criando Multi Agent Systems com CrewAI,._08 - Criando Multi Agent Systems com CrewAI,18uchZnWrwFo5Y73T9SdkfYTUGextUkcW,application/octet-stream,4096,2026-07-06T06:39:55.820Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/00 - Ordem Cursos e Projetos,00 - Ordem Cursos e Projetos,1x568SgyzH6HfLFgZpddk1SJUyUZM6puN,application/vnd.google-apps.folder,,2026-07-06T06:39:43.592Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/00 - Ordem Cursos e Projetos/._Part1.png,._Part1.png,1jvexMGITLNL4I0o1o5_Z9vEWUanRUY2y,image/png,4096,2026-07-06T06:40:05.180Z
CURSOS/ASIMOV/TRILHAS RETIRADAS DA PLATAFORMA/TRILHAS RETIRADAS DA PLATAFORMA/04 - [TRILHA] Aplicações IA - Multi-agent Systems com CrewAI/00 - Ordem Cursos e Projetos/._Part2.png,._Part2.png,1SKg-v3ztYDsFIx127AUeBf3GeVL_r687,image/png,4096,2026-07-06T06:40:05.289Z
