nome_normalizado,quantidade,ids,caminhos
c0056.mp4,3,1pzzjk3vmOIG4b3yckBePxBTAlGgYBgng | 1jh9c7ejwOZFsdEjbrhCwMElsIk_8M10F | 1QdVHXG_nXgFH1iQKWMzZOF4xbsY2x8cv,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0056.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0056.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0056.MP4
c0057.mp4,3,1jAoJ22L75Bbf4E_zEVGtB4-H6_SVn-cQ | 1C37LT4vXL9gGFt64DNP_0ffmWIyF4hWa | 1MIYyRYNI7LjdjI_CKPWtUVcp2JcF72gj,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0057.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0057.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0057.MP4
c0059.mp4,3,1MXDZZSizx74uEqGvaVjgJgKYcKMMF01_ | 1nMU3QGMCpmAPhe0iZWJbnXJZ5uoHEAOP | 1BFuLinF6Es3bVPn1jgOGfuoZoXXz_E5B,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0059.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0059.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0059.MP4
c0061.mp4,3,1r885j2mse5LthybHXyOXbuTFDQ_g6HUY | 1GTZVveGYWhuDUMFfgj6LiJRYKRQ1Ov_J | 1ExykZoplwz0s5pVJdFd5SqYVAlInE0ob,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0061.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0061.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0061.MP4
c0070.mp4,3,15JAi_9V9nO-yrjsAFggfq9sjy9a2Hni8 | 1AEG6P2ybE4LlF5t3vtF3CgVz6c3wlCb6 | 1mM6dvwF0QS0pMWzolEJpZpmTAKc_Ce5N,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0070.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0070.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0070.MP4
c0087.mp4,3,1CSVoJ6EOMQPebCVeqw4suaWdRV6OT3w6 | 18War7ws1bCkdyRNH6K_5HLjUwxNZ8qAR | 1vnWWDW_b5IarCtOSEKd24g9hnDB5jnSQ,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0087.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0087.MP4 | 99_TRIAGEM_ARQUIVOS_PARADOS_ANTIGO_OUTROS/ANIVERSÁRIO LIZ DEVINHO/VIDEOS/C0087.MP4
horizontal_historia_completo.mp4,2,1tF501wA6dwijy5Nh86aQOGX9UzpW5oNu | 1GbRyLFX1MOuh4Z3z2F5YKNLaHx6aQg3z,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/HORIZONTAL_HISTÓRIA_COMPLETO.mp4 | 01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/HORIZONTAL_HISTÓRIA_COMPLETO.mp4
trand salto ninja com fraldas 01.mp4,2,1O7R4BWh1dhqI0ZWgJGcsjpy4S4uNCef1 | 1YerFx0TcSKv2x3NMVhIRJ-dhDVSKJIjW,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/TRAND SALTO NINJA COM FRALDAS 01.mp4 | 01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/TRAND SALTO NINJA COM FRALDAS 01.mp4
trand salto ninja com fraldas 02.mp4,2,1a7WW09QmM8BgcU8LdzpMQvLZPl1CH7qg | 1xMiUMWlJ5ua-84GxM-kjM0DyDysI2t9u,01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/FINAIS_DSJ/TRAND SALTO NINJA COM FRALDAS 02.mp4 | 01_CLIENTES/99_REVISAR_CLIENTES_NAO_CADASTRADOS/FINAIS_DROGARIA SÃO JORGE/TRAND SALTO NINJA COM FRALDAS 02.mp4
c0001.mp4,2,1CTpNt8JgTyRz5AcHHnBwE6RvgXcbXKPZ | 14pJiQh9uUX35fm483hjk4KWpH24BQXto,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0001.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0001.MP4
c0002.mp4,2,1Xfa7fNvKhIHEedBzS9gbFTfV17Hr8Qz- | 1TTIcJ6jSYwYK9J1m7PZaCuGDkLGlqF3o,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0002.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0002.MP4
c0003.mp4,2,1zkZoBwpQq8GwCb7qJnU8-F0SljoYQoEX | 1mDh8h5q2mraj7CLABO-zgi-uYXGFdYPI,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0003.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0003.MP4
c0004.mp4,2,17eo9uoVzEiikATDXXvxMY2sIISt2IsHG | 1l--dAgzJXh1HySQ7gOTlXssNM5_nx7WO,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0004.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0004.MP4
c0005.mp4,2,1kmNSn_0dulS6rBzd3wHxvIb2yTE6aJD2 | 1N79yU5e_hIAgezvXkcqA8PS1sKN2WhSZ,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0005.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0005.MP4
c0006.mp4,2,1de-V01lP1PPeIDxcwB7dZKWr7pxcaUj4 | 1Mxzld4la_FlEttCfePRNBABC_Npu9rBl,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0006.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0006.MP4
c0007.mp4,2,1aM-h3xl-qseLisUUs44U-3KMeXgZUW1y | 1JjevJCK9exlOo1hKTY0WTPu46igLUja4,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0007.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0007.MP4
c0008.mp4,2,1nAhvNilfbLlfuGq0OQG9pL2yMyTAWRnY | 1lGc6EsozD2xEXCHx0HjVsj5NMy4izI94,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0008.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0008.MP4
c0009.mp4,2,1PY4s6N4VKz9iE6tZHGZGNmobThXYlLsP | 1_XBaDDdURnmetlEvLWAjtmqjMYu-uLVF,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0009.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0009.MP4
c0010.mp4,2,1IITWF4kzO9siExyZTMYsItqtZfUQjnBj | 1UlEeUepJha4GcGzAEt2B_e7mwyB7dv8d,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0010.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0010.MP4
c0011.mp4,2,1ijP72bb_USoz44OJQg5ijEv8NWTPh5Gt | 1wya3l5cLmUMB5ka5i1sDTkwjJ4nx4vH3,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0011.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0011.MP4
c0012.mp4,2,1VlvpepKqw2Jr_InMNBvu29avqkDEoBeO | 13DCMjPOfuteOM88r4O22ykTs4qidPuy-,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0012.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0012.MP4
c0013.mp4,2,1QCGKgtimEtz9HDcVAZuHbDJ8iu1hFiUZ | 12Qe4hUZrhlssGruT8AsWrOj9tmByCAjr,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0013.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0013.MP4
c0014.mp4,2,1misyYipdq7Aeg3s3av_0RDppAHyKQe7H | 1aHdUF46C-A3UBv-bLBQeWAfcs-Z8LE39,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0014.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0014.MP4
c0015.mp4,2,1UvQacWGItrEI9atTSMcPo5kDMBhDhzTX | 1CGHNlMd3LkHUfDOe61SW2vx63g306hc5,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0015.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0015.MP4
c0016.mp4,2,1mfQcF1FzbKJIvzSrzXYY_-wyOuvsjhxI | 1Fx3QgJ-URu-PQnMY_DqN4lQyvX-hR5Cm,01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 03/C0016.MP4 | 01_CLIENTES/ALDEIA KARAPOTÓ TERRA NOVA/03_PRODUCAO_BRUTA/DIA 4/C0016.MP4
